City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Rikitea,PF,75.0,clear sky,-23.1203,-134.9692,People ThankYou
10,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
17,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Hilo,US,87.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
28,Akyab,MM,80.53,overcast clouds,20.15,92.9,Hotel Memory
33,Puerto Colombia,CO,84.29,broken clouds,10.9878,-74.9547,Hotel El Emigrante
36,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
42,Bubaque,GW,80.89,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
45,Lompoc,US,87.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
51,San Ramon,US,88.57,clear sky,37.7799,-121.978,San Ramon Marriott
52,Acarau,BR,78.87,broken clouds,-2.8856,-40.12,castelo pizzaria
54,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
55,Port Moresby,PG,83.62,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
56,Meulaboh,ID,76.03,overcast clouds,4.1363,96.1285,Kost Pria
57,Bonthe,SL,75.27,light rain,7.5264,-12.505,Bonthe Holiday Village
62,Yichang,CN,86.94,overcast clouds,30.7144,111.2847,Gezhouba Hotel
64,Economy,US,88.95,scattered clouds,40.6001,-80.2248,Forest Brook Mobile Home Park
67,Beyneu,KZ,84.13,clear sky,45.3167,55.2,NUR
71,Madang,PG,83.88,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
77,Turbat,PK,83.53,overcast clouds,26.0023,63.044,Mubashar Quarters
78,Phimai,TH,79.29,moderate rain,15.2232,102.4947,Benya Guest House
82,Motril,ES,85.28,scattered clouds,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
86,Victoria,HK,87.24,few clouds,22.2855,114.1577,Mini Central
88,Awjilah,LY,76.82,clear sky,29.1081,21.2869,المنزل
89,Bethel,US,86.85,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
98,Poyarkovo,RU,75.33,clear sky,49.6,128.6833,Gostinitsa
101,Jamestown,US,76.59,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
108,Katsuura,JP,77.02,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
113,Kahului,US,84.22,light rain,20.8947,-156.47,Maui Seaside Hotel
116,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
119,Atuona,PF,77.85,scattered clouds,-9.8,-139.0333,Villa Enata
120,Fairbanks,US,78.03,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
121,Mangrol,IN,81.16,moderate rain,21.1167,70.1167,Hotel The Royal Honours
125,Anito,PH,83.08,broken clouds,12.4497,125.2886,El Felix Cottages
126,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
127,Bartica,GY,80.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
129,Dawei,MM,76.73,light rain,14.0833,98.2,Hotel Dawei
132,Jaffna,LK,82.36,overcast clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
136,Teknaf,BD,79.07,overcast clouds,20.8624,92.3058,Forestry Guesthouse
140,Moussoro,TD,87.71,broken clouds,13.6408,16.4901,Hôtel Salama
142,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
145,Butaritari,KI,82.49,broken clouds,3.0707,172.7902,Isles Sunset Lodge
146,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
147,Hithadhoo,MV,83.43,scattered clouds,-0.6,73.0833,Scoop Guest House
148,Westport,US,83.53,few clouds,41.1415,-73.3579,The Westport Inn
151,Jacareacanga,BR,81.37,broken clouds,-6.2222,-57.7528,Casa do Ian😎
157,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
158,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
160,Lata,PT,79.07,overcast clouds,40.1629,-8.3327,Casa Maquia
