,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ponta Do Sol,PT,32.6667,-17.1,71.01,72,24,2.15,few clouds
1,Chuy,UY,-33.6971,-53.4616,41.76,82,24,4.85,few clouds
2,Radhan,PK,27.1833,67.95,91.29,62,1,8.37,clear sky
3,Ushuaia,AR,-54.8,-68.3,37.06,87,75,8.05,light rain
4,Norman Wells,CA,65.282,-126.8329,64.44,68,75,25.32,broken clouds
5,Vestmannaeyjar,IS,63.4427,-20.2734,48.67,76,100,23.53,overcast clouds
6,Moron,AR,-34.6534,-58.6198,49.96,63,16,4.65,few clouds
7,Belaya Gora,RU,68.5333,146.4167,73.78,49,29,8.05,scattered clouds
8,Rikitea,PF,-23.1203,-134.9692,75.0,75,10,14.61,clear sky
9,Grindavik,IS,63.8424,-22.4338,48.15,87,75,6.91,broken clouds
10,Vila Velha,BR,-20.3297,-40.2925,75.15,82,0,11.5,clear sky
11,Avera,US,33.194,-82.5271,83.71,71,100,4.83,overcast clouds
12,Mayumba,GA,-3.432,10.6554,68.92,93,59,3.31,broken clouds
13,Chesma,RU,53.8111,60.6533,60.67,90,58,3.69,broken clouds
14,Payakumbuh,ID,-0.2202,100.6308,70.36,94,99,2.48,light rain
15,Castro,BR,-24.7911,-50.0119,54.1,75,12,1.48,few clouds
16,Longview,US,32.5007,-94.7405,104.25,23,0,11.5,clear sky
17,Kapaa,US,22.0752,-159.319,84.52,66,40,13.8,scattered clouds
18,Coruripe,BR,-10.1256,-36.1756,73.63,90,7,10.13,clear sky
19,Provideniya,RU,64.3833,-173.3,53.71,76,0,11.18,clear sky
20,Nanortalik,GL,60.1432,-45.2371,42.31,89,22,9.78,few clouds
21,Dikson,RU,73.5069,80.5464,39.76,83,12,0.51,few clouds
22,Veseloyarsk,RU,51.2836,81.1056,60.13,79,0,11.3,clear sky
23,Busselton,AU,-33.65,115.3333,53.62,87,12,8.46,few clouds
24,Port Alfred,ZA,-33.5906,26.891,57.18,66,0,9.06,clear sky
25,Hilo,US,19.7297,-155.09,87.28,74,0,10.36,clear sky
26,Abha,SA,18.2164,42.5053,66.02,68,20,3.44,few clouds
27,Yantzaza,EC,-3.8278,-78.7594,66.87,99,51,0.54,moderate rain
28,Akyab,MM,20.15,92.9,80.53,86,99,16.13,overcast clouds
29,Kashi,CN,39.4547,75.9797,74.41,33,75,6.71,broken clouds
30,Cidreira,BR,-30.1811,-50.2056,52.23,69,97,10.0,overcast clouds
31,Verkhoyansk,RU,67.5447,133.385,67.06,58,10,9.93,clear sky
32,Mataura,NZ,-46.1927,168.8643,44.47,98,100,6.22,light rain
33,Puerto Colombia,CO,10.9878,-74.9547,84.29,85,69,18.54,broken clouds
34,Albany,US,42.6001,-73.9662,81.41,67,21,1.01,few clouds
35,Saldanha,ZA,-33.0117,17.9442,44.65,79,0,3.13,clear sky
36,Vaini,TO,-21.2,-175.2,80.76,74,20,11.5,few clouds
37,Kaitangata,NZ,-46.2817,169.8464,43.25,95,100,14.32,overcast clouds
38,Hobart,AU,-42.8794,147.3294,47.26,86,75,4.61,broken clouds
39,Cap Malheureux,MU,-19.9842,57.6142,70.47,69,62,7.0,broken clouds
40,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,88,0,5.75,clear sky
41,Cape Town,ZA,-33.9258,18.4232,56.37,92,0,1.99,clear sky
42,Bubaque,GW,11.2833,-15.8333,80.89,80,100,9.78,overcast clouds
43,Namibe,AO,-15.1961,12.1522,62.24,88,1,4.05,clear sky
44,Yellowknife,CA,62.456,-114.3525,70.32,52,75,16.11,broken clouds
45,Lompoc,US,34.6391,-120.4579,87.01,68,0,14.97,clear sky
46,Hargeysa,SO,9.56,44.065,69.37,53,86,30.65,overcast clouds
47,Kungurtug,RU,50.5994,97.5228,59.65,59,37,1.97,scattered clouds
48,Lerwick,GB,60.1545,-1.1494,53.6,81,83,21.52,broken clouds
49,Tasiilaq,GL,65.6145,-37.6368,44.76,80,61,5.66,broken clouds
50,Slyudyanka,RU,51.6594,103.7061,62.85,85,64,1.03,broken clouds
51,San Ramon,US,37.7799,-121.978,88.57,52,0,16.11,clear sky
52,Acarau,BR,-2.8856,-40.12,78.87,81,61,13.82,broken clouds
53,Santo Antonio Do Monte,BR,-20.0872,-45.2936,62.19,47,97,4.43,overcast clouds
54,Kloulklubed,PW,7.0419,134.2556,79.3,76,62,8.61,broken clouds
55,Port Moresby,PG,-9.4431,147.1797,83.62,70,40,17.27,scattered clouds
56,Meulaboh,ID,4.1363,96.1285,76.03,81,96,5.14,overcast clouds
57,Bonthe,SL,7.5264,-12.505,75.27,90,57,5.57,light rain
